institute_id,name,tlr,rpc,go,oi,perception,city,state,score,rank,Year
IR-E-U-0535 ,Rajiv Gandhi Institute of Petroleum Technology,58.81,7.05,54.22,43.96,0,Amethi,Uttar Pradesh,34.99,182,2022
IR-E-C-1352 ,Nitte Meenakshi Institute of Technology,56.55,7.71,50.82,53.81,1.6,Bengaluru,Karnataka,34.97,183,2022
IR-E-U-0455 ,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",36.37,13.15,62.59,51.37,24.12,Chennai,Tamil Nadu,34.93,184,2022
IR-E-C-18254 ,Yeshwantrao Chavan College of Engineering,52.41,8.77,57.07,50.74,0.54,Nagpur,Maharashtra,34.88,185,2022
IR-E-U-0513 ,G. L. A. University,55.52,19.67,37.61,45.62,1.08,Mathura,Uttar Pradesh,34.74,186,2022
IR-E-C-46111 ,KIET Group of Institutions,53.33,9.39,55.12,46.29,2.64,Ghaziabad,Uttar Pradesh,34.73,187,2022
IR-E-C-17958 ,GMR Institute of Technology,57.16,15.28,42.92,41.85,2.12,Rajam,Andhra Pradesh,34.71,188,2022
IR-E-U-0217 ,Christ University,45.9,19.22,41.37,52.22,16.07,Bengaluru,Karnataka,34.64,189,2022
IR-E-U-0765 ,Institute of Infrastructure Technology Research and Management (IITRAM),54.88,20.07,40.43,37.21,1.08,Ahmedabad,Gujarat,34.41,190,2022
IR-E-U-0168 ,Maharishi Markandeshwar,59.42,14.51,34.91,49.51,2.64,Ambala,Haryana,34.37,191,2022
IR-E-N-13 ,Galgotias College of Engineering & Technology,54.75,6.98,51.54,48.41,6.07,Greater Noida ,Uttar Pradesh,34.29,192,2022
IR-E-C-42227 ,Dr. D. Y. Patil Institute of Technology,53.48,1.49,59.71,51.98,4.63,Pune,Maharashtra,34.1,193,2022
IR-E-U-0622 ,National Institute of Technology Delhi,41.6,22.59,44.71,42.73,14.94,New Delhi,Delhi,33.96,194,2022
IR-E-C-46239 ,G. L. Bajaj Institute of Technology and Management,54.48,10.21,47.98,47.79,1.6,Greater Noida ,Uttar Pradesh,33.95,195,2022
IR-E-U-0854 ,KLE Technological University,51.27,10.36,50.84,48.3,4.14,Dharwad,Karnataka,33.9,196,2022
IR-E-C-33777,Shri Vile Parle Kelavani Mandal`s Dwarkadas J. Sanghvi College of Engineering,53.37,6.11,58.33,42.72,1.08,Mumbai Suburban,Maharashtra,33.88,197,2022
IR-E-C-16504 ,Sri Venkateswara College of Engineering and Technology,51.15,1.53,59.06,58.36,3.14,Chittoor,Andhra Pradesh,33.77,198,2022
IR-E-C-1336 ,BMS Institute of Technology & Management,46.4,4.77,56.46,54.38,16.8,Bengaluru,Karnataka,33.76,199,2022
IR-E-C-19582 ,Vidya Jyothi Institute of Technology,57.97,2.81,46.58,55.46,6.07,Hyderabad,Telangana,33.7,200,2022
